MARK	EID	Epigenome_name	FRAGLEN
H3K27ac	E115	Dnd41_TCell_Leukemia								165
H3K27ac	E116	GM12878_Lymphoblastoid								185
H3K27ac	E117	HeLa-S3_Cervical_Carcinoma							215
H3K27ac	E118	HepG2_Hepatocellular_Carcinoma							185
H3K27ac	E119	HMEC_Mammary_Epithelial								180
H3K27ac	E120	HSMM_Skeletal_Muscle_Myoblasts							175
H3K27ac	E121	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM				210
H3K27ac	E122	HUVEC_Umbilical_Vein_Endothelial_Cells						215
H3K27ac	E123	K562_Leukemia									165
H3K27ac	E124	Monocytes-CD14+_RO01746								240
H3K27ac	E125	NH-A_Astrocytes									175
H3K27ac	E126	NHDF-Ad_Adult_Dermal_Fibroblasts						160
H3K27ac	E127	NHEK-Epidermal_Keratinocytes							185
H3K27ac	E128	NHLF_Lung_Fibroblasts								200
H3K27ac	E129	Osteoblasts									200
H3K27me3	E001										ES-I3_Cell_Line	185
H3K27me3	E002										ES-WA7_Cell_Line	155
H3K27me3	E003										H1_Cell_Line		115
H3K27me3	E004										H1_BMP4_Derived_Mesendoderm_Cultured_Cells 130
H3K27me3	E005										H1_BMP4_Derived_Trophoblast_Cultured_Cells 130
H3K27me3	E006										H1_Derived_Mesenchymal_Stem_Cells	   120
H3K27me3	E007										H1_Derived_Neuronal_Progenitor_Cultured_Cells 155
H3K27me3	E008										H9_Cell_Line				      135
H3K27me3	E009										H9_Derived_Neuronal_Progenitor_Cultured_Cells 185
H3K27me3	E010										H9_Derived_Neuron_Cultured_Cells	      155
H3K27me3	E011										hESC_Derived_CD184+_Endoderm_Cultured_Cells   310
H3K27me3	E012										hESC_Derived_CD56+_Ectoderm_Cultured_Cells    195
H3K27me3	E013										hESC_Derived_CD56+_Mesoderm_Cultured_Cells    225
H3K27me3	E014										HUES48_Cell_Line			      170
H3K27me3	E015										HUES6_Cell_Line				      170
H3K27me3	E016										HUES64_Cell_Line			      170
H3K27me3	E017										IMR90_Cell_Line				      140
H3K27me3	E018										iPS-15b_Cell_Line			      175
H3K27me3	E019										iPS-18_Cell_Line			      215
H3K27me3	E020										iPS-20b_Cell_Line			      190
H3K27me3	E021										iPS_DF_6.9_Cell_Line			      110
H3K27me3	E022										iPS_DF_19.11_Cell_Line			      115
H3K27me3	E023										Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells 185
H3K27me3	E024										4star						       140
H3K27me3	E025										Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells   185
H3K27me3	E026										Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells 180
H3K27me3	E027										Breast_Myoepithelial_Cells				 140
H3K27me3	E028										Breast_vHMEC						 330
H3K27me3	E029										CD14_Primary_Cells					 180
H3K27me3	E030										CD15_Primary_Cells					 185
H3K27me3	E031										CD19_Primary_Cells_Cord_BI				 140
H3K27me3	E032										CD19_Primary_Cells_Peripheral_UW			 160
H3K27me3	E033										CD3_Primary_Cells_Cord_BI				 155
H3K27me3	E034										CD3_Primary_Cells_Peripheral_UW				 185
H3K27me3	E035										CD34_Primary_Cells					 145
H3K27me3	E036										CD34_Cultured_Cells					 135
H3K27me3	E037										CD4_Memory_Primary_Cells				 230
H3K27me3	E038										CD4_Naive_Primary_Cells					 225
H3K27me3	E039										CD4+_CD25-_CD45RA+_Naive_Primary_Cells			 225
H3K27me3	E040										CD4+_CD25-_CD45RO+_Memory_Primary_Cells			 245
H3K27me3	E041										CD4+_CD25-_IL17-_PMA-Ionomycin_stimulated_MACS_purified_Th_Primary_Cells 255
H3K27me3	E042										CD4+_CD25-_IL17+_PMA-Ionomcyin_stimulated_Th17_Primary_Cells		 215
H3K27me3	E043										CD4+_CD25-_Th_Primary_Cells						 220
H3K27me3	E044										CD4+_CD25+_CD127-_Treg_Primary_Cells					 210
H3K27me3	E045										CD4+_CD25int_CD127+_Tmem_Primary_Cells					 195
H3K27me3	E046										CD56_Primary_Cells							 160
H3K27me3	E047										CD8_Naive_Primary_Cells							 155
H3K27me3	E048										CD8_Memory_Primary_Cells						 215
H3K27me3	E049										Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells 190
H3K27me3	E050										Mobilized_CD34_Primary_Cells_Female					   185
H3K27me3	E051										Mobilized_CD34_Primary_Cells_Male					   115
H3K27me3	E052										Muscle_Satellite_Cultured_Cells						   170
H3K27me3	E053										Neurosphere_Cultured_Cells_Cortex_Derived				   180
H3K27me3	E054										Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived			   125
H3K27me3	E055										Penis_Foreskin_Fibroblast_Primary_Cells_skin01				   190
H3K27me3	E056										Penis_Foreskin_Fibroblast_Primary_Cells_skin02				   175
H3K27me3	E057										Penis_Foreskin_Keratinocyte_Primary_Cells_skin02			   160
H3K27me3	E058										Penis_Foreskin_Keratinocyte_Primary_Cells_skin03			   190
H3K27me3	E059										Penis_Foreskin_Melanocyte_Primary_Cells_skin01				   145
H3K27me3	E061										Penis_Foreskin_Melanocyte_Primary_Cells_skin03				   150
H3K27me3	E062										Peripheral_Blood_Mononuclear_Primary_Cells				   300
H3K27me3	E063										Adipose_Nuclei								   180
H3K27me3	E065										Aorta									   130
H3K27me3	E066										Adult_Liver								   165
H3K27me3	E067										Brain_Angular_Gyrus							   250
H3K27me3	E068										Brain_Anterior_Caudate							   170
H3K27me3	E069										Brain_Cingulate_Gyrus							   220
H3K27me3	E070										Brain_Germinal_Matrix							   165
H3K27me3	E071										Brain_Hippocampus_Middle						   245
H3K27me3	E072										Brain_Inferior_Temporal_Lobe						   215
H3K27me3	E073										Brain_Mid_Frontal_Lobe							   220
H3K27me3	E074										Brain_Substantia_Nigra							   140
H3K27me3	E075										Colonic_Mucosa								   150
H3K27me3	E076										Colon_Smooth_Muscle							   310
H3K27me3	E077										Duodenum_Mucosa								   170
H3K27me3	E078										Duodenum_Smooth_Muscle							   235
H3K27me3	E079										Esophagus								   155
H3K27me3	E080										Fetal_Adrenal_Gland							   180
H3K27me3	E081										Fetal_Brain_Male							   200
H3K27me3	E082										Fetal_Brain_Female							   185
H3K27me3	E083										Fetal_Heart								   140
H3K27me3	E084										Fetal_Intestine_Large							   170
H3K27me3	E085										Fetal_Intestine_Small							   160
H3K27me3	E086										Fetal_Kidney								   150
H3K27me3	E087										Pancreatic_Islets							   180
H3K27me3	E088										Fetal_Lung								   175
H3K27me3	E089										Fetal_Muscle_Trunk							   185
H3K27me3	E090										Fetal_Muscle_Leg							   170
H3K27me3	E091										Fetal_Placenta								   200
H3K27me3	E092										Fetal_Stomach								   180
H3K27me3	E093										Fetal_Thymus								   175
H3K27me3	E094										Gastric									   175
H3K27me3	E095										Left_Ventricle								   150
H3K27me3	E096										Lung									   190
H3K27me3	E097										Ovary									   185
H3K27me3	E098										Pancreas								   180
H3K27me3	E099										Placenta_Amnion								   200
H3K27me3	E100										Psoas_Muscle								   140
H3K27me3	E101										Rectal_Mucosa.Donor_29							   145
H3K27me3	E102										Rectal_Mucosa.Donor_31							   170
H3K27me3	E103										Rectal_Smooth_Muscle							   130
H3K27me3	E104										Right_Atrium								   175
H3K27me3	E105										Right_Ventricle								   180
H3K27me3	E106										Sigmoid_Colon								   135
H3K27me3	E107										Skeletal_Muscle_Male							   170
H3K27me3	E108										Skeletal_Muscle_Female							   175
H3K27me3	E109										Small_Intestine								   130
H3K27me3	E110										Stomach_Mucosa								   230
H3K27me3	E111										Stomach_Smooth_Muscle							   160
H3K27me3	E112										Thymus									   180
H3K27me3	E113										Spleen									   155
H3K27me3	E114										A549_EtOH_0.02pct_Lung_Carcinoma					   215
H3K27me3	E115										Dnd41_TCell_Leukemia							   175
H3K27me3	E116										GM12878_Lymphoblastoid							   170
H3K27me3	E117										HeLa-S3_Cervical_Carcinoma						   195
H3K27me3	E118										HepG2_Hepatocellular_Carcinoma						   185
H3K27me3	E119										HMEC_Mammary_Epithelial							   170
H3K27me3	E120										HSMM_Skeletal_Muscle_Myoblasts						   155
H3K27me3	E121										HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM			   205
H3K27me3	E122										HUVEC_Umbilical_Vein_Endothelial_Cells					   190
H3K27me3	E123										K562_Leukemia								   140
H3K27me3	E124										Monocytes-CD14+_RO01746							   210
H3K27me3	E125										NH-A_Astrocytes								   155
H3K27me3	E126										NHDF-Ad_Adult_Dermal_Fibroblasts					   140
H3K27me3	E127										NHEK-Epidermal_Keratinocytes						   185
H3K27me3	E128										NHLF_Lung_Fibroblasts							   195
H3K27me3	E129										Osteoblasts								   160
H3K36me3	E001										ES-I3_Cell_Line								   180
H3K36me3	E002										ES-WA7_Cell_Line							   120
